date,active_users,total_users,sleep_logs,insights_viewed,coach_messages,plans_completed,avg_sleep_duration,avg_sleep_quality,avg_stress,dau_rate,sleep_log_completion_rate,insight_view_rate,coach_plan_completion_rate
2026-02-11,152,250,114,64,50,37,7.03312,46.576,4.8392,0.608,0.75,0.42105263157894735,0.74
2026-02-12,163,250,115,79,51,31,7.07104,47.216,4.9268,0.652,0.7055214723926381,0.48466257668711654,0.6078431372549019
2026-02-13,169,250,121,59,45,26,7.03616,46.604,4.6284,0.676,0.7159763313609467,0.34911242603550297,0.5777777777777777
2026-02-14,152,250,107,67,44,27,7.3773599999999995,47.52,4.9356,0.608,0.7039473684210527,0.4407894736842105,0.6136363636363636
2026-02-15,155,250,111,73,48,23,7.39396,49.052,4.7672,0.62,0.7161290322580646,0.47096774193548385,0.4791666666666667
2026-02-16,178,250,133,93,64,34,6.99516,45.844,4.8096000000000005,0.712,0.7471910112359551,0.5224719101123596,0.53125
2026-02-17,172,250,131,67,42,17,6.920439999999999,44.804,4.8552,0.688,0.7616279069767442,0.38953488372093026,0.40476190476190477
2026-02-18,169,250,124,78,53,30,7.0642,46.476,4.9028,0.676,0.7337278106508875,0.46153846153846156,0.5660377358490566
2026-02-19,155,250,108,78,43,24,6.88396,44.636,4.8812,0.62,0.6967741935483871,0.5032258064516129,0.5581395348837209
2026-02-20,161,250,123,76,42,24,6.91184,45.868,4.7364,0.644,0.7639751552795031,0.4720496894409938,0.5714285714285714
2026-02-21,158,250,114,73,47,20,7.37356,48.076,4.8412,0.632,0.7215189873417721,0.4620253164556962,0.425531914893617
2026-02-22,166,250,122,85,56,31,7.37932,48.996,4.9232,0.664,0.7349397590361446,0.5120481927710844,0.5535714285714286
2026-02-23,158,250,126,86,62,32,7.03092,46.34,4.776800000000001,0.632,0.7974683544303798,0.5443037974683544,0.5161290322580645
2026-02-24,161,250,115,66,41,21,7.10168,46.956,4.8271999999999995,0.644,0.7142857142857143,0.40993788819875776,0.5121951219512195
2026-02-25,161,250,119,64,43,22,6.93604,45.22,4.7871999999999995,0.644,0.7391304347826086,0.39751552795031053,0.5116279069767442
2026-02-26,172,250,112,92,67,38,6.94552,45.436,4.7852,0.688,0.6511627906976745,0.5348837209302325,0.5671641791044776
2026-02-27,157,250,114,67,45,26,7.02984,47.264,4.8056,0.628,0.7261146496815286,0.4267515923566879,0.5777777777777777
2026-02-28,150,250,110,76,47,29,7.394,49.096,4.718,0.6,0.7333333333333333,0.5066666666666667,0.6170212765957447
2026-03-01,161,250,123,67,44,25,7.3362799999999995,47.948,4.7124,0.644,0.7639751552795031,0.4161490683229814,0.5681818181818182
2026-03-02,161,250,116,63,40,29,6.99512,45.804,4.7912,0.644,0.7204968944099379,0.391304347826087,0.725
2026-03-03,157,250,110,63,46,29,6.98876,45.784,4.8004,0.628,0.7006369426751592,0.4012738853503185,0.6304347826086957
2026-03-04,150,250,112,69,44,26,7.0241999999999996,46.48,4.7672,0.6,0.7466666666666667,0.46,0.5909090909090909
2026-03-05,161,250,112,72,44,26,6.97388,46.964,4.6732,0.644,0.6956521739130435,0.4472049689440994,0.5909090909090909
2026-03-06,165,250,126,78,55,30,7.04428,46.82,4.7988,0.66,0.7636363636363637,0.4727272727272727,0.5454545454545454
2026-03-07,155,250,117,68,49,31,7.347600000000001,48.62,4.7452,0.62,0.7548387096774194,0.43870967741935485,0.6326530612244898
2026-03-08,155,250,116,68,46,32,7.28036,48.372,4.9052,0.62,0.7483870967741936,0.43870967741935485,0.6956521739130435
2026-03-09,168,250,122,71,38,18,7.02624,46.748,4.8492,0.672,0.7261904761904762,0.4226190476190476,0.47368421052631576
2026-03-10,167,250,112,88,54,32,6.89448,44.944,4.9448,0.668,0.6706586826347305,0.5269461077844312,0.5925925925925926
2026-03-11,160,250,105,68,51,30,6.97088,46.432,4.804399999999999,0.64,0.65625,0.425,0.5882352941176471
2026-03-12,159,250,117,73,51,25,6.9377200000000006,45.288,4.9368,0.636,0.7358490566037735,0.4591194968553459,0.49019607843137253
2026-03-13,165,250,115,82,48,28,6.956720000000001,45.916,4.884399999999999,0.66,0.696969696969697,0.49696969696969695,0.5833333333333334
2026-03-14,160,250,126,86,52,29,7.29804,48.436,4.7536000000000005,0.64,0.7875,0.5375,0.5576923076923077
2026-03-15,168,250,117,78,58,29,7.2136000000000005,47.32,4.91,0.672,0.6964285714285714,0.4642857142857143,0.5
2026-03-16,158,250,119,75,47,22,6.92164,44.988,4.9588,0.632,0.7531645569620253,0.47468354430379744,0.46808510638297873
2026-03-17,176,250,123,77,46,20,6.92792,45.564,4.8256000000000006,0.704,0.6988636363636364,0.4375,0.43478260869565216
2026-03-18,155,250,122,82,61,31,6.99184,45.696,4.9448,0.62,0.7870967741935484,0.5290322580645161,0.5081967213114754
2026-03-19,164,250,121,74,49,24,6.9786,45.128,4.9592,0.656,0.7378048780487805,0.45121951219512196,0.4897959183673469
2026-03-20,169,250,119,69,45,27,6.98128,45.956,4.8296,0.676,0.7041420118343196,0.40828402366863903,0.6
2026-03-21,163,250,123,76,48,22,7.35076,48.004,4.788399999999999,0.652,0.754601226993865,0.4662576687116564,0.4583333333333333
2026-03-22,159,250,124,72,54,32,7.3662399999999995,48.644,4.8184,0.636,0.779874213836478,0.4528301886792453,0.5925925925925926
2026-03-23,161,250,111,78,56,33,6.96872,45.852,4.844,0.644,0.6894409937888198,0.484472049689441,0.5892857142857143
2026-03-24,163,250,117,66,41,22,7.01916,46.556,4.8224,0.652,0.7177914110429447,0.4049079754601227,0.5365853658536586
2026-03-25,179,250,120,85,54,31,7.04196,46.208,4.674,0.716,0.6703910614525139,0.4748603351955307,0.5740740740740741
2026-03-26,159,250,108,72,47,30,7.01292,47.08,4.848,0.636,0.6792452830188679,0.4528301886792453,0.6382978723404256
2026-03-27,166,250,120,73,47,25,6.9436,45.436,4.8948,0.664,0.7228915662650602,0.4397590361445783,0.5319148936170213
2026-03-28,162,250,114,71,41,28,7.32712,47.792,4.7496,0.648,0.7037037037037037,0.4382716049382716,0.6829268292682927
2026-03-29,157,250,110,76,52,29,7.306,47.856,4.7648,0.628,0.7006369426751592,0.4840764331210191,0.5576923076923077
2026-03-30,157,250,113,70,42,27,6.911239999999999,45.54,4.9808,0.628,0.7197452229299363,0.445859872611465,0.6428571428571429
2026-03-31,157,250,111,72,51,24,6.95316,44.66,4.9768,0.628,0.7070063694267515,0.4585987261146497,0.47058823529411764
