user_id,date,bedtime_hour,wake_time_hour,sleep_duration_hours,time_in_bed_hours,sleep_latency_min,wake_episodes,caffeine_after_16,screen_time_before_bed_min,stress_level,exercise_minutes,sleep_efficiency,sleep_quality_score,felt_rested,app_opened,sleep_log_completed,insight_viewed,coach_message_sent,plan_completed
U0001,2026-02-18,23.76,7.66,7.36,7.9,32.3,0,0,125.9,3.7,59.7,0.932,47,0,0,0,0,0,0
U0001,2026-02-19,23.52,7.0,7.07,7.47,23.9,0,0,110.7,5.0,39.8,0.947,53,1,0,0,0,0,0
U0001,2026-02-20,23.3,6.39,6.73,7.09,21.8,0,0,106.6,4.4,34.9,0.949,54,0,0,0,0,0,0
U0001,2026-02-21,23.74,8.92,8.74,9.18,18.7,1,0,129.6,3.0,54.6,0.952,53,0,1,1,0,0,0
U0001,2026-02-22,23.88,8.5,7.72,8.62,48.1,1,1,108.8,3.5,24.6,0.895,37,0,1,1,0,0,0
U0001,2026-02-23,23.2,8.33,8.82,9.13,10.9,1,0,38.5,1.0,42.6,0.966,63,0,1,1,0,0,0
U0001,2026-02-24,23.02,7.11,7.3,8.09,36.0,2,0,126.3,3.3,42.0,0.903,48,0,1,1,0,0,0
U0001,2026-02-25,23.03,6.77,7.27,7.74,28.3,0,0,87.0,1.8,5.8,0.939,54,1,1,0,0,0,0
U0001,2026-02-26,23.36,7.8,7.81,8.45,18.3,4,0,70.3,1.0,0.0,0.924,45,0,0,0,0,0,0
U0001,2026-02-27,23.24,6.61,6.36,7.36,48.6,2,1,87.0,2.0,23.5,0.864,39,0,1,0,1,0,0
U0001,2026-02-28,24.43,9.74,8.85,9.31,13.8,3,0,54.4,1.3,36.1,0.951,57,0,0,0,0,0,0
U0001,2026-03-01,24.16,9.0,8.45,8.84,23.7,0,0,82.7,2.3,31.3,0.955,64,0,1,1,1,1,0
U0001,2026-03-02,23.22,7.64,7.41,8.43,33.5,3,0,115.1,4.4,44.5,0.88,40,0,1,0,0,0,0
U0001,2026-03-03,22.86,5.96,6.68,7.1,25.5,0,0,99.6,3.1,42.8,0.94,47,0,1,1,0,0,0
U0001,2026-03-04,24.02,8.28,7.81,8.26,22.1,1,0,61.1,3.4,47.0,0.945,59,0,0,0,0,0,0
U0001,2026-03-05,23.15,7.0,7.03,7.85,35.6,2,0,91.5,4.0,6.6,0.896,51,0,0,0,0,0,0
U0001,2026-03-06,23.76,7.83,7.58,8.07,29.4,0,0,89.7,4.3,33.5,0.939,61,1,1,1,0,0,0
U0001,2026-03-07,23.74,8.31,7.86,8.56,23.9,2,0,79.8,1.0,13.8,0.917,40,0,1,1,0,0,0
U0001,2026-03-08,24.36,9.04,7.76,8.68,39.7,3,1,78.8,3.4,24.7,0.894,40,0,0,0,0,0,0
U0001,2026-03-09,23.47,8.07,7.83,8.59,40.8,1,0,77.2,1.8,43.4,0.911,57,0,1,1,0,0,0
U0001,2026-03-10,23.66,7.34,6.69,7.68,59.2,0,1,70.2,4.7,21.8,0.871,44,0,1,1,1,1,0
U0001,2026-03-11,23.45,6.15,5.76,6.71,52.6,1,1,126.2,5.1,39.5,0.859,33,0,1,1,0,0,0
U0001,2026-03-12,23.95,8.57,7.64,8.63,51.8,1,1,105.0,2.2,59.2,0.886,42,0,0,0,0,0,0
U0001,2026-03-13,23.26,7.2,7.61,7.94,15.7,1,0,138.2,2.0,60.7,0.959,51,0,1,1,1,1,0
U0001,2026-03-14,23.15,7.61,8.01,8.47,17.9,2,0,89.5,2.9,29.3,0.946,55,0,0,0,0,0,0
U0001,2026-03-15,24.26,8.83,7.95,8.57,37.2,0,0,95.3,5.5,0.0,0.928,62,1,1,1,1,0,0
U0001,2026-03-16,23.21,8.24,8.29,9.03,29.0,2,0,70.0,5.2,0.0,0.918,53,1,1,1,1,1,0
U0001,2026-03-17,23.64,7.87,8.03,8.23,9.0,1,0,90.8,1.0,19.4,0.976,49,0,1,1,0,0,0
U0001,2026-03-18,24.48,7.79,6.47,7.31,50.4,0,0,138.4,5.3,54.8,0.885,40,0,1,1,1,0,0
U0001,2026-03-19,23.58,7.17,6.73,7.6,52.0,0,1,167.3,2.2,20.4,0.886,25,0,1,1,1,0,0
U0001,2026-03-20,22.92,6.58,7.14,7.66,31.5,0,0,121.9,3.1,60.5,0.932,57,1,0,0,0,0,0
U0001,2026-03-21,24.23,9.28,8.65,9.06,24.1,0,0,54.0,1.5,36.4,0.956,62,0,1,0,0,0,0
U0001,2026-03-22,23.68,7.86,7.81,8.18,22.2,0,0,146.2,2.9,3.5,0.955,52,0,1,1,0,0,0
U0001,2026-03-23,23.77,8.4,8.1,8.63,31.8,0,0,117.6,3.1,32.4,0.939,61,0,1,1,0,0,0
U0001,2026-03-24,22.31,6.52,7.71,8.22,30.4,0,0,23.1,3.6,30.3,0.938,61,0,1,1,1,0,0
U0001,2026-03-25,23.05,6.12,6.68,7.07,6.9,2,0,22.9,1.0,39.8,0.944,55,0,0,0,0,0,0
U0001,2026-03-26,22.76,7.55,8.19,8.79,27.2,1,0,71.7,1.7,59.3,0.932,58,0,1,1,1,0,0
U0001,2026-03-27,23.57,7.26,7.14,7.69,33.0,0,1,128.6,3.1,3.4,0.928,39,0,1,0,0,0,0
U0001,2026-03-28,23.72,8.25,7.55,8.52,31.5,3,0,92.8,3.8,47.8,0.886,47,0,0,0,0,0,0
U0001,2026-03-29,23.59,7.22,6.84,7.63,43.1,1,1,85.8,3.6,72.9,0.897,48,0,1,0,0,0,0
U0001,2026-03-30,23.4,8.18,8.31,8.78,19.0,1,0,21.9,1.0,51.2,0.946,70,1,1,1,1,1,1
U0001,2026-03-31,24.23,7.29,6.81,7.07,15.4,0,0,59.3,1.6,41.4,0.964,58,0,0,0,0,0,0
U0002,2026-01-01,21.98,7.11,7.83,9.12,59.7,3,0,147.9,7.5,61.9,0.859,48,0,0,0,0,0,0
U0002,2026-01-02,21.71,5.59,7.11,7.88,45.7,0,0,131.0,6.8,56.7,0.903,46,0,1,1,0,0,0
U0002,2026-01-03,23.2,7.18,7.16,7.99,40.0,1,0,82.4,7.0,40.1,0.897,56,0,1,1,0,0,0
U0002,2026-01-04,24.11,8.84,7.52,8.73,53.3,3,0,121.9,7.0,41.0,0.862,34,0,1,0,1,1,0
U0002,2026-01-05,21.41,5.15,7.24,7.74,29.5,0,0,175.1,4.0,45.1,0.936,52,0,0,0,0,0,0
U0002,2026-01-06,22.31,5.46,6.62,7.14,31.5,0,0,129.5,6.0,66.5,0.926,46,0,0,0,0,0,0
U0002,2026-01-07,21.87,5.65,7.05,7.78,43.9,0,0,94.3,5.5,63.1,0.906,40,0,1,1,1,1,1
U0002,2026-01-08,22.93,7.48,7.8,8.55,26.5,6,0,79.6,4.3,15.2,0.912,30,0,1,1,0,0,0
U0002,2026-01-09,21.29,5.18,7.27,7.9,28.1,2,0,140.2,5.5,89.1,0.921,56,0,1,1,1,1,1
U0002,2026-01-10,22.21,6.18,7.17,7.96,40.1,1,0,70.8,6.1,37.3,0.901,43,0,1,0,1,1,1
U0002,2026-01-11,21.57,6.13,7.61,8.55,40.1,2,0,126.9,7.2,44.5,0.889,41,0,0,0,0,0,0
U0002,2026-01-12,21.45,5.87,7.69,8.42,16.5,3,0,84.8,3.8,67.7,0.913,61,0,0,0,0,0,0
U0002,2026-01-13,22.96,6.51,6.18,7.55,66.6,4,1,128.8,8.7,74.2,0.818,19,0,1,0,1,1,1
U0002,2026-01-14,22.84,6.55,6.97,7.71,39.5,1,1,134.3,7.2,64.1,0.904,34,0,1,0,0,0,0
U0002,2026-01-15,21.4,5.74,7.67,8.33,35.0,1,0,100.1,4.7,68.4,0.921,56,0,1,1,0,0,0
U0002,2026-01-16,22.08,5.96,6.97,7.88,24.1,5,0,107.9,6.4,74.4,0.884,45,0,1,0,1,0,0
U0002,2026-01-17,22.12,4.86,5.71,6.74,48.0,2,0,141.8,7.0,16.9,0.848,39,0,1,0,1,1,0
U0002,2026-01-18,22.27,4.97,6.16,6.7,32.5,0,0,102.4,6.4,17.4,0.919,41,0,0,0,0,0,0
U0002,2026-01-19,22.78,6.49,6.74,7.72,40.0,2,0,138.8,7.5,87.0,0.873,40,0,1,1,1,1,1
U0002,2026-01-20,21.7,4.87,5.93,7.17,50.5,4,1,123.0,6.2,87.4,0.827,33,0,1,0,1,1,1
U0002,2026-01-21,21.9,4.82,6.06,6.93,43.3,1,0,105.6,7.8,22.7,0.874,33,0,1,1,0,0,0
U0002,2026-01-22,21.79,4.0,5.21,6.21,60.4,0,1,108.8,10.0,28.3,0.838,16,0,1,0,1,0,0
U0002,2026-01-23,22.83,7.04,7.38,8.21,42.9,2,0,181.7,6.5,50.3,0.899,43,0,0,0,0,0,0
U0002,2026-01-24,23.33,7.06,7.27,7.72,27.0,0,0,79.0,8.1,73.2,0.942,48,0,1,0,1,1,1
U0002,2026-01-25,23.08,7.3,7.48,8.22,35.2,2,0,56.4,6.7,40.7,0.909,46,0,0,0,0,0,0
U0002,2026-01-26,22.89,7.27,7.25,8.38,48.5,2,0,159.4,7.8,43.7,0.866,38,0,1,1,0,0,0
U0002,2026-01-27,23.03,6.79,7.04,7.76,34.8,1,0,124.5,7.9,50.7,0.907,35,0,0,0,0,0,0
U0002,2026-01-28,22.34,6.15,7.29,7.81,30.9,0,0,92.0,5.6,41.2,0.934,53,0,1,1,1,1,1
U0002,2026-01-29,22.59,5.49,5.79,6.91,59.3,1,1,131.2,8.6,54.7,0.838,20,0,1,1,0,0,0
U0002,2026-01-30,21.96,5.16,5.82,7.2,67.8,4,1,192.8,9.1,16.4,0.809,10,0,1,1,1,1,1
U0002,2026-01-31,23.1,6.82,6.84,7.73,44.4,1,0,159.5,6.5,27.4,0.885,37,0,1,0,0,0,0
U0002,2026-02-01,21.62,5.49,7.05,7.86,32.9,2,0,81.8,2.9,36.6,0.897,54,0,1,1,0,0,0
U0002,2026-02-02,21.57,4.04,5.47,6.47,40.4,2,0,140.4,8.9,21.9,0.847,24,0,1,1,1,1,0
U0002,2026-02-03,21.65,5.12,6.45,7.47,48.5,2,0,137.3,7.5,13.4,0.864,34,0,0,0,0,0,0
U0002,2026-02-04,22.65,6.91,7.21,8.26,57.4,1,1,117.4,7.8,53.7,0.873,44,0,1,1,1,1,0
U0002,2026-02-05,22.32,5.92,6.89,7.6,33.2,1,0,117.2,7.2,43.9,0.907,45,0,0,0,0,0,0
U0002,2026-02-06,23.43,6.27,5.9,6.84,37.1,2,0,112.8,7.7,55.0,0.863,34,0,0,0,0,0,0
U0002,2026-02-07,23.36,7.26,7.04,7.9,45.1,1,0,157.1,8.0,23.6,0.891,35,0,1,0,1,1,0
U0002,2026-02-08,23.04,6.69,6.97,7.65,40.8,0,0,112.1,7.4,39.3,0.911,48,0,1,1,0,0,0
U0002,2026-02-09,22.27,4.89,6.2,6.62,25.1,0,0,129.0,5.2,29.0,0.937,63,0,1,0,0,0,0
U0002,2026-02-10,23.16,7.01,7.22,7.85,30.8,1,0,56.1,4.6,36.8,0.92,53,0,1,1,1,1,1
U0002,2026-02-11,21.03,4.28,6.71,7.25,32.8,0,0,129.5,7.2,23.2,0.925,45,0,0,0,0,0,0
U0002,2026-02-12,22.32,5.45,6.14,7.13,45.1,4,0,142.3,7.0,39.5,0.861,40,0,1,1,1,0,0
U0002,2026-02-13,22.33,6.58,7.6,8.25,39.0,0,0,93.4,6.4,76.9,0.921,58,0,0,0,0,0,0
U0002,2026-02-14,22.55,7.37,8.02,8.82,41.8,1,0,147.7,7.3,53.2,0.91,56,0,0,0,0,0,0
U0002,2026-02-15,23.25,7.73,7.71,8.49,39.9,1,0,110.5,6.6,55.4,0.909,47,1,1,0,1,1,1
U0002,2026-02-16,22.54,5.48,6.05,6.94,46.3,2,0,143.1,8.2,32.0,0.871,40,0,0,0,0,0,0
U0002,2026-02-17,21.87,4.74,6.09,6.87,37.6,1,0,115.2,8.9,105.1,0.887,38,0,1,1,0,0,0
U0002,2026-02-18,21.26,5.48,7.02,8.22,65.9,1,1,114.9,10.0,53.6,0.853,37,0,1,1,1,1,1
U0002,2026-02-19,22.12,6.22,7.06,8.1,39.6,4,0,108.3,7.1,44.6,0.871,42,0,1,1,0,0,0
U0002,2026-02-20,21.4,5.19,6.84,7.8,39.4,4,0,104.5,7.1,49.1,0.878,50,0,1,1,1,0,0
U0002,2026-02-21,22.21,6.51,7.29,8.3,45.0,2,0,113.5,5.8,28.0,0.878,41,1,0,0,0,0,0
U0002,2026-02-22,22.97,6.93,7.35,7.96,33.3,1,0,32.1,5.7,47.2,0.923,55,0,1,1,1,0,0
U0002,2026-02-23,22.56,7.67,7.98,9.11,54.3,2,1,68.2,4.5,39.8,0.876,38,0,1,0,1,1,0
U0002,2026-02-24,22.46,7.05,7.48,8.59,49.4,2,0,79.5,8.1,94.4,0.87,41,0,1,1,0,0,0
U0002,2026-02-25,23.28,7.69,7.93,8.41,25.8,1,0,78.8,3.3,40.2,0.942,65,0,1,1,1,1,1
U0002,2026-02-26,22.22,4.0,5.42,5.78,21.4,0,0,163.9,6.7,57.3,0.938,38,0,0,0,0,0,0
U0002,2026-02-27,22.26,6.89,7.44,8.63,71.6,0,1,92.4,5.0,54.1,0.862,59,0,1,1,0,0,0
U0002,2026-02-28,23.45,7.6,6.88,8.15,60.7,3,1,168.7,5.8,45.4,0.844,43,0,0,0,0,0,0
U0002,2026-03-01,23.29,6.73,6.81,7.43,33.6,1,0,174.9,6.6,58.5,0.917,40,0,1,1,0,0,0
U0002,2026-03-02,21.93,5.96,6.85,8.04,42.1,3,0,72.4,7.0,43.4,0.853,45,0,1,1,0,0,0
U0002,2026-03-03,21.97,5.14,6.22,7.18,46.5,3,0,142.7,6.5,45.2,0.866,36,0,0,0,0,0,0
U0002,2026-03-04,21.42,5.72,7.29,8.3,43.1,2,0,61.4,6.4,30.9,0.879,36,0,1,1,1,1,1
U0002,2026-03-05,22.78,5.91,6.51,7.13,26.2,2,0,67.3,6.3,48.6,0.912,50,0,0,0,0,0,0
U0002,2026-03-06,23.65,7.47,6.23,7.82,58.9,4,1,162.1,7.9,29.5,0.796,19,0,1,1,1,1,1
U0002,2026-03-07,22.23,6.21,7.11,7.98,42.8,1,0,87.7,5.3,45.8,0.892,54,0,1,1,0,0,0
U0002,2026-03-08,22.92,7.57,7.65,8.65,41.0,2,0,104.7,8.2,43.3,0.885,40,0,1,1,0,0,0
U0002,2026-03-09,22.52,6.31,6.94,7.79,43.3,1,0,168.8,7.0,5.0,0.891,50,0,1,1,1,1,0
U0002,2026-03-10,23.0,6.72,6.76,7.72,48.0,3,0,136.4,8.3,51.4,0.876,24,0,1,1,1,1,1
U0002,2026-03-11,22.12,5.9,6.73,7.78,53.8,1,0,145.0,8.7,59.7,0.865,41,0,1,1,0,0,0
U0002,2026-03-12,22.49,4.99,5.86,6.5,20.9,4,0,60.8,6.4,42.7,0.902,43,0,0,0,0,0,0
U0002,2026-03-13,21.7,6.4,7.56,8.71,61.6,2,1,167.2,7.2,75.5,0.869,47,0,1,1,1,1,1
U0002,2026-03-14,23.16,7.18,6.52,8.02,54.1,6,0,139.4,9.0,29.1,0.813,30,0,1,1,1,0,0
U0002,2026-03-15,22.2,5.91,6.77,7.71,44.4,2,0,94.6,7.0,53.0,0.878,38,0,1,0,0,0,0
U0002,2026-03-16,21.91,4.89,6.31,6.98,35.6,1,0,126.8,6.2,35.2,0.904,42,0,1,0,0,0,0
U0002,2026-03-17,21.89,5.09,6.11,7.2,51.4,3,0,163.8,8.8,42.3,0.85,24,0,0,0,0,0,0
U0002,2026-03-18,22.2,5.02,6.34,6.81,28.6,0,0,86.2,5.6,10.9,0.93,50,0,1,1,0,0,0
U0002,2026-03-19,22.2,5.43,6.59,7.22,32.0,1,0,112.8,6.5,51.3,0.912,43,0,0,0,0,0,0
U0002,2026-03-20,22.09,5.29,6.22,7.2,52.3,1,0,175.9,7.8,13.4,0.864,32,0,0,0,0,0,0
U0002,2026-03-21,23.92,7.9,6.91,7.99,37.0,3,0,99.9,5.3,28.3,0.865,44,0,0,0,0,0,0
U0002,2026-03-22,23.18,7.5,7.98,8.32,16.9,1,0,93.2,3.1,54.9,0.959,51,0,1,1,0,0,0
U0002,2026-03-23,23.23,6.76,6.6,7.54,26.5,4,0,114.5,6.3,41.5,0.875,35,0,1,1,0,0,0
U0002,2026-03-24,22.79,6.3,6.95,7.51,34.1,0,0,158.3,6.0,13.4,0.924,44,0,1,1,1,0,0
U0002,2026-03-25,21.32,4.39,6.04,7.06,53.8,1,1,106.4,7.6,63.9,0.854,44,0,1,0,0,0,0
U0002,2026-03-26,22.52,6.43,7.18,7.91,39.5,1,0,216.5,6.8,45.6,0.908,45,0,1,0,1,1,1
U0002,2026-03-27,21.93,5.8,6.95,7.87,45.0,2,0,94.5,6.5,78.5,0.883,41,0,1,1,0,0,0
U0002,2026-03-28,22.48,6.26,7.25,7.78,27.2,1,0,50.4,5.9,51.1,0.933,44,0,1,1,1,1,0
U0002,2026-03-29,23.29,8.05,7.49,8.76,76.0,0,1,180.0,5.7,49.1,0.855,47,0,0,0,0,0,0
U0002,2026-03-30,22.82,6.38,6.43,7.56,45.2,3,0,123.7,7.5,72.8,0.851,41,0,1,0,1,0,0
U0002,2026-03-31,21.72,4.05,5.23,6.33,52.9,3,1,132.8,9.3,47.7,0.826,26,0,1,1,1,1,1
U0003,2026-01-01,23.45,7.39,7.48,7.94,27.2,0,0,87.9,2.3,56.2,0.943,52,0,1,1,0,0,0
U0003,2026-01-02,23.33,6.84,6.99,7.52,31.7,0,1,112.3,1.0,27.9,0.93,53,0,0,0,0,0,0
U0003,2026-01-03,24.01,10.63,9.97,10.62,32.1,2,0,36.5,1.1,64.0,0.939,64,1,1,1,0,0,0
U0003,2026-01-04,23.56,8.65,8.79,9.09,17.8,0,0,106.0,1.0,27.6,0.967,59,1,0,0,0,0,0
U0003,2026-01-05,23.98,7.57,7.11,7.59,28.7,0,0,151.4,3.0,33.1,0.937,60,0,0,0,0,0,0
U0003,2026-01-06,21.9,5.59,7.5,7.69,6.9,1,0,80.8,2.6,17.7,0.975,66,0,1,0,1,1,1
U0003,2026-01-07,23.85,7.33,7.07,7.49,25.1,0,0,92.7,3.0,27.5,0.944,55,0,0,0,0,0,0
U0003,2026-01-08,23.23,7.24,7.28,8.0,35.3,2,0,158.5,1.0,38.6,0.91,56,0,1,1,1,0,0
U0003,2026-01-09,24.56,9.13,7.99,8.57,34.7,0,0,62.4,4.3,31.4,0.932,72,0,0,0,0,0,0
U0003,2026-01-10,25.11,9.14,7.55,8.03,15.6,2,0,68.5,1.0,1.6,0.94,54,0,0,0,0,0,0
U0003,2026-01-11,23.4,7.47,7.62,8.07,19.7,1,0,92.1,1.0,16.6,0.944,57,0,0,0,0,0,0
U0003,2026-01-12,22.82,6.47,7.14,7.65,23.4,1,0,86.9,2.5,50.8,0.933,54,0,1,1,1,1,1
U0003,2026-01-13,22.66,6.62,7.3,7.97,32.6,1,1,62.2,1.0,23.0,0.916,49,0,1,0,1,1,1
U0003,2026-01-14,22.42,6.26,7.14,7.85,35.3,1,0,108.5,3.9,24.2,0.91,42,0,1,1,1,1,0
U0003,2026-01-15,23.82,7.48,7.06,7.66,32.6,1,0,91.7,2.0,17.9,0.922,44,0,0,0,0,0,0
U0003,2026-01-16,23.71,7.78,7.46,8.06,36.0,0,0,82.3,3.8,52.9,0.926,58,0,1,1,1,0,0
U0003,2026-01-17,23.51,8.4,8.64,8.89,11.5,1,0,63.4,2.1,46.9,0.971,66,0,0,0,0,0,0
U0003,2026-01-18,23.69,9.23,9.32,9.54,13.5,0,0,54.6,1.0,48.5,0.976,82,1,0,0,0,0,0
U0003,2026-01-19,23.49,8.19,8.04,8.71,24.9,2,0,64.1,1.0,36.6,0.924,58,0,1,1,1,1,1
U0003,2026-01-20,23.65,7.3,7.28,7.65,14.7,2,0,97.4,1.0,40.1,0.952,57,0,0,0,0,0,0
U0003,2026-01-21,23.38,7.09,7.28,7.71,25.6,0,0,108.6,1.1,56.6,0.945,51,0,1,1,0,0,0
U0003,2026-01-22,22.83,7.83,8.6,9.0,17.1,1,0,28.2,1.0,34.0,0.956,63,0,0,0,0,0,0
U0003,2026-01-23,23.52,7.85,8.03,8.33,18.1,0,0,116.7,1.0,64.4,0.964,56,0,1,1,1,1,1
U0003,2026-01-24,24.7,9.03,8.21,8.33,7.4,0,0,113.1,1.0,65.3,0.985,61,0,0,0,0,0,0
U0003,2026-01-25,23.59,7.88,7.52,8.28,38.6,2,1,137.7,1.9,12.1,0.908,38,0,1,1,0,0,0
U0003,2026-01-26,23.91,8.44,8.21,8.52,18.9,0,0,84.5,1.0,14.1,0.963,63,1,1,1,0,0,0
U0003,2026-01-27,23.01,6.89,7.46,7.88,25.4,0,0,135.6,1.2,19.3,0.946,48,0,0,0,0,0,0
U0003,2026-01-28,23.81,8.82,8.59,9.01,18.0,1,1,38.4,1.0,33.6,0.953,55,0,1,1,0,0,0
U0003,2026-01-29,23.43,7.71,7.88,8.28,19.7,1,0,82.4,2.5,33.0,0.952,56,0,1,0,0,0,0
U0003,2026-01-30,23.55,7.51,7.37,7.96,29.9,1,0,106.6,2.3,60.6,0.925,52,0,0,0,0,0,0
